Business Name,Industry,Location,Asking Price,Revenue,Cash Flow,Established,Employees,Reason for Sale,Seller Financing,Days on Market,Description
Sparkle Commercial Cleaning,commercial cleaning,"Tampa, FL",450000,980000,185000,2005,14,Owner retiring,Yes,210,"Manager-run janitorial company with 40 recurring monthly contracts. Owner works 10 hours per week. Seller financing available to a qualified buyer."
Gulf Coast HVAC Services,hvac,"Sarasota, FL",1200000,2400000,410000,1998,18,Health reasons,Will consider,95,"Residential and light commercial HVAC with 600 annual service agreements. Two licensed master technicians on staff."
Bayside Pizzeria,restaurant,"Clearwater, FL",395000,720000,88000,2019,11,Other interests,No,45,"Popular pizzeria in a strip mall. Cash only sale. Owner works 65 hours per week and does all the cooking."
Meridian Bookkeeping Partners,accounting,"Orlando, FL",620000,540000,215000,2011,5,Retiring,Yes,320,"Bookkeeping and tax practice with recurring monthly retainer clients. Owner handles most client relationships."
Precision Auto Repair,auto repair,"Lakeland, FL",540000,1100000,168000,2003,9,Relocating,Negotiable,150,"Six-bay independent repair shop. Long-tenured technicians. Building leased from a third party."
Everglade Lawn & Landscape,landscaping,"Naples, FL",310000,680000,142000,2009,12,Burned out,Yes,180,"Commercial landscaping routes with annual contracts. Seasonal crew. Equipment included."
Atlas Freight Solutions,trucking,"Jacksonville, FL",2800000,4200000,520000,2014,22,Other interests,Unknown,60,"Regional dry van carrier. 18 owned tractors with existing equipment notes. One customer represents 45% of revenue."
Coastal Pest Defense,pest control,"Fort Myers, FL",780000,1150000,268000,2007,10,Owner retiring,Yes,140,"Recurring quarterly pest control routes, 3100 residential accounts. Manager in place running daily operations."
Sunshine Storage Depot,self storage,"Ocala, FL",3400000,600000,420000,1999,3,Estate sale,Will consider,240,"420-unit self storage facility. Real estate included in the asking price. Motivated seller, must sell."
Nimbus Managed IT,managed it services,"Tampa, FL",1450000,1900000,395000,2013,11,Relocating,Yes,110,"MSP with monthly recurring contracts averaging 36 months. Low churn. Owner is the primary salesperson."
Petal & Stem Florist,retail,"St Petersburg, FL",180000,340000,62000,2021,4,Divorce,Negotiable,75,"Boutique florist with walk-in and event business. Inventory of $55,000 included in the price."
Harborview Dental,medical practice,"Tampa, FL",1650000,2100000,540000,2004,14,Retiring,Yes,190,"Established general dentistry practice with 3 operatories and a hygiene program."
